,Strategy,Dataset,n_instances,l_attributes,k_neighbours,fit_time,accuracy,f1_macro,f1_micro
1,Randomised search,D4,90,8,6,0.0016716321309407551,0.45555555555555555,0.3439900284461875,0.45555555555555555
2,Randomised search,D4,90,8,4,0.001336812973022461,0.4666666666666667,0.3544431112365895,0.4666666666666667
3,Randomised search,D4,90,8,8,0.0016706784566243489,0.45555555555555555,0.3439900284461875,0.45555555555555555
4,Randomised search,D4,90,8,6,0.002005338668823242,0.45555555555555555,0.3439900284461875,0.45555555555555555
5,Randomised search,D4,90,8,3,0.0020051797231038413,0.4666666666666667,0.3544431112365895,0.4666666666666667
6,Randomised search,D4,90,8,5,0.0020058155059814453,0.45555555555555555,0.3420924218025668,0.45555555555555555
7,Randomised search,D4,90,8,5,0.0016705989837646484,0.45555555555555555,0.3420924218025668,0.45555555555555555
8,Randomised search,D4,90,8,3,0.0036766529083251953,0.4666666666666667,0.3544431112365895,0.4666666666666667
9,Randomised search,D4,90,8,1,0.0020057360331217446,0.5333333333333333,0.3848177446464487,0.5333333333333333
10,Randomised search,D4,90,8,7,0.0010037422180175781,0.45555555555555555,0.3439900284461875,0.45555555555555555
11,Randomised search,D4,90,8,7,0.0010026295979817708,0.45555555555555555,0.3439900284461875,0.45555555555555555
12,Randomised search,D4,90,8,8,0.0013368924458821614,0.45555555555555555,0.3439900284461875,0.45555555555555555
13,Randomised search,D4,90,8,2,0.0010028680165608723,0.4777777777777778,0.3662369694917937,0.4777777777777778
14,Randomised search,D4,90,8,6,0.0010030269622802734,0.45555555555555555,0.3439900284461875,0.45555555555555555
15,Randomised search,D4,90,8,4,0.0016712347666422527,0.4666666666666667,0.3544431112365895,0.4666666666666667
16,Randomised search,D4,90,8,8,0.0010025501251220703,0.45555555555555555,0.3439900284461875,0.45555555555555555
17,Randomised search,D4,90,8,1,0.0013368924458821614,0.5333333333333333,0.3848177446464487,0.5333333333333333
18,Randomised search,D4,90,8,3,0.0013372103373209636,0.4666666666666667,0.3544431112365895,0.4666666666666667
19,Randomised search,D4,90,8,2,0.002005894978841146,0.4777777777777778,0.3662369694917937,0.4777777777777778
20,Randomised search,D4,90,8,6,0.0013370513916015625,0.45555555555555555,0.3439900284461875,0.45555555555555555
21,Randomised search,D4,90,8,4,0.001337289810180664,0.4666666666666667,0.3544431112365895,0.4666666666666667
22,Randomised search,D4,90,8,8,0.0010028680165608723,0.45555555555555555,0.3439900284461875,0.45555555555555555
23,Randomised search,D4,90,8,5,0.0016709963480631511,0.45555555555555555,0.3420924218025668,0.45555555555555555
24,Randomised search,D4,90,8,7,0.002010981241861979,0.45555555555555555,0.3439900284461875,0.45555555555555555
0,Randomised search,D5,336,9,4,0.0020052591959635415,0.7708333333333334,0.5547938398149744,0.7708333333333334
1,Randomised search,D5,336,9,3,0.0026732285817464194,0.7619047619047619,0.5672618940077678,0.7619047619047619
2,Randomised search,D5,336,9,14,0.0020049413045247397,0.7797619047619048,0.5186948437401357,0.7797619047619048
3,Randomised search,D5,336,9,8,0.0023392836252848306,0.7767857142857143,0.5653060983952545,0.7767857142857143
4,Randomised search,D5,336,9,15,0.0020099480946858725,0.7767857142857143,0.5188698543934721,0.7767857142857143
5,Randomised search,D5,336,9,4,0.002003908157348633,0.7708333333333334,0.5547938398149744,0.7708333333333334
6,Randomised search,D5,336,9,8,0.0023397604624430337,0.7767857142857143,0.5653060983952545,0.7767857142857143
7,Randomised search,D5,336,9,10,0.0020051002502441406,0.7767857142857143,0.5160849456142187,0.7767857142857143
8,Randomised search,D5,336,9,10,0.0023376941680908203,0.7767857142857143,0.5160849456142187,0.7767857142857143
9,Randomised search,D5,336,9,10,0.0020051797231038413,0.7767857142857143,0.5160849456142187,0.7767857142857143
10,Randomised search,D5,336,9,6,0.002339442571004232,0.7708333333333334,0.5624271796015167,0.7708333333333334
11,Randomised search,D5,336,9,5,0.002005497614542643,0.7738095238095238,0.5749044770681224,0.7738095238095238
12,Randomised search,D5,336,9,1,0.00167083740234375,0.7738095238095238,0.6689273285341217,0.7738095238095238
13,Randomised search,D5,336,9,16,0.0013370513916015625,0.7797619047619048,0.5203778085927434,0.7797619047619048
14,Randomised search,D5,336,9,13,0.0013365745544433594,0.7767857142857143,0.5188698543934721,0.7767857142857143
15,Randomised search,D5,336,9,16,0.0020051797231038413,0.7797619047619048,0.5203778085927434,0.7797619047619048
16,Randomised search,D5,336,9,3,0.0016704400380452473,0.7619047619047619,0.5672618940077678,0.7619047619047619
17,Randomised search,D5,336,9,15,0.0020055770874023438,0.7767857142857143,0.5188698543934721,0.7767857142857143
18,Randomised search,D5,336,9,16,0.002005338668823242,0.7797619047619048,0.5203778085927434,0.7797619047619048
19,Randomised search,D5,336,9,14,0.0020056565602620444,0.7797619047619048,0.5186948437401357,0.7797619047619048
20,Randomised search,D5,336,9,15,0.004010518391927083,0.7767857142857143,0.5188698543934721,0.7767857142857143
21,Randomised search,D5,336,9,11,0.00200502077738444,0.7767857142857143,0.5188698543934721,0.7767857142857143
22,Randomised search,D5,336,9,3,0.00167083740234375,0.7619047619047619,0.5672618940077678,0.7619047619047619
23,Randomised search,D5,336,9,16,0.0013360182444254558,0.7797619047619048,0.5203778085927434,0.7797619047619048
24,Randomised search,D5,336,9,8,0.0016718705495198567,0.7767857142857143,0.5653060983952545,0.7767857142857143
0,Randomised search,D6,150,6,11,0.0016712347666422527,0.7933333333333333,0.7873946669817637,0.7933333333333333
1,Randomised search,D6,150,6,7,0.001671155293782552,0.7933333333333333,0.7873946669817637,0.7933333333333333
2,Randomised search,D6,150,6,1,0.0010028680165608723,0.7933333333333333,0.7873946669817637,0.7933333333333333
3,Randomised search,D6,150,6,2,0.0016705989837646484,0.7866666666666666,0.7798004372888094,0.7866666666666666
4,Randomised search,D6,150,6,4,0.001671155293782552,0.7866666666666666,0.7798004372888094,0.7866666666666666
5,Randomised search,D6,150,6,2,0.0016709168752034504,0.7866666666666666,0.7798004372888094,0.7866666666666666
6,Randomised search,D6,150,6,7,0.0013362566630045574,0.7933333333333333,0.7873946669817637,0.7933333333333333
7,Randomised search,D6,150,6,2,0.0010027090708414714,0.7866666666666666,0.7798004372888094,0.7866666666666666
